iter	RMSE
0	6476.415914
1	6285.323437
2	6073.99777
3	5884.746653
4	5709.901952
5	5542.30817
6	5384.615671
7	5234.329015
8	5097.83584
9	4963.76917
10	4845.061501
11	4736.059135
12	4630.352685
13	4536.353496
14	4444.510051
15	4362.210263
16	4280.398326
17	4202.817948
18	4133.173189
19	4066.563417
20	3996.516521
21	3945.417258
22	3883.27876
23	3830.061276
24	3778.442129
25	3729.355313
26	3685.697774
27	3648.502927
28	3607.522431
29	3567.817083
30	3531.046021
31	3497.781553
32	3466.298915
33	3431.089602
34	3401.812838
35	3369.726681
36	3341.843701
37	3313.954413
38	3288.35499
39	3262.213356
40	3238.646226
41	3218.580592
42	3201.44795
43	3183.489729
44	3165.835663
45	3147.539741
46	3133.843477
47	3117.040464
48	3102.496972
49	3088.261589
50	3071.028392
51	3060.648709
52	3047.795242
53	3035.229232
54	3022.481775
55	3012.351417
56	2993.939256
57	2987.655767
58	2976.948305
59	2967.229479
60	2957.527116
61	2946.697908
62	2937.549507
63	2930.048973
64	2924.801841
65	2917.851625
66	2909.191581
67	2905.244845
68	2904.482528
69	2894.242365
70	2892.554099
71	2883.377934
72	2878.253398
73	2867.212706
74	2866.477648
75	2860.439428
76	2856.367792
77	2850.307227
78	2843.487511
79	2836.081192
80	2827.08264
81	2816.299284
82	2813.362611
83	2801.87956
84	2799.226397
85	2791.370367
86	2784.710267
87	2778.396866
88	2769.540591
89	2765.76905
90	2765.126746
91	2759.377926
92	2750.26194
93	2747.16701
94	2738.104721
95	2731.636278
96	2728.417936
97	2725.894104
98	2721.922634
99	2718.009786
100	2714.898773
101	2711.164703
102	2708.337563
103	2704.79517
104	2702.279882
105	2698.159738
106	2689.890666
107	2689.080395
108	2683.023794
109	2679.475134
110	2675.674429
111	2670.753787
112	2664.950354
113	2662.723589
114	2656.891992
115	2656.211072
116	2652.624314
117	2643.007429
118	2639.177154
119	2635.759295
120	2634.933476
121	2634.213408
122	2633.030507
123	2627.631541
124	2626.498519
125	2624.953001
126	2619.411679
127	2617.123461
128	2609.554585
129	2606.078626
130	2603.659677
131	2598.144684
132	2595.799277
133	2592.115072
134	2589.158452
135	2585.28998
136	2584.585723
137	2582.548196
138	2578.917574
139	2574.381458
140	2573.759114
141	2570.783847
142	2565.261949
143	2562.028024
144	2558.206356
145	2556.894098
146	2549.799824
147	2540.944556
148	2534.821417
149	2525.445811
150	2521.900879
