iter	Passed	Remaining
0	230	206915
1	365	164010
2	491	146989
3	612	137109
4	733	131252
5	853	127124
6	999	127451
7	1167	130128
8	1289	127615
9	1407	125227
10	1524	123220
11	1641	121439
12	1756	119867
13	1872	118490
14	2015	118934
15	2130	117724
16	2245	116629
17	2360	115678
18	2478	114913
19	2592	114060
20	2706	113296
21	2851	113796
22	2966	113107
23	3080	112421
24	3196	111871
25	3314	111403
26	3429	110900
27	3544	110386
28	3687	110759
29	3802	110283
30	3918	109848
31	4032	109386
32	4147	108964
33	4267	108705
34	4387	108427
35	4535	108853
36	4654	108568
37	4769	108186
38	4886	107870
39	5002	107546
40	5117	107214
41	5232	106899
42	5377	107172
43	5493	106876
44	5620	106784
45	5737	106518
46	5857	106310
47	5977	106101
48	6099	105935
49	6246	106185
50	6367	105998
51	6488	105811
52	6608	105611
53	6728	105405
54	6847	105205
55	6970	105052
56	7116	105254
57	7235	105038
58	7359	104897
59	7476	104669
60	7593	104446
61	7710	104219
62	7826	103986
63	7968	104089
64	8083	103839
65	8197	103587
66	8313	103358
67	8428	103119
68	8542	102876
69	8657	102648
70	8801	102761
71	8921	102597
72	9041	102429
73	9164	102292
74	9217	101393
75	9343	101306
76	9466	101185
77	9612	101305
78	9735	101177
79	9865	101124
80	9993	101046
81	10121	100970
82	10254	100935
83	10375	100790
84	10523	100901
85	10642	100731
86	10761	100563
87	10880	100396
88	11001	100245
89	11116	100048
90	11233	99869
91	11376	99913
92	11491	99714
93	11605	99514
94	11727	99372
95	11849	99237
96	11969	99089
97	12089	98939
98	12237	99012
99	12354	98838
100	12470	98651
101	12586	98471
102	12702	98289
103	12817	98102
104	12931	97909
105	13072	97921
106	13187	97736
107	13305	97571
108	13429	97455
109	13563	97409
110	13684	97269
111	13805	97129
112	13953	97177
113	14072	97026
114	14193	96888
115	14314	96747
116	14436	96614
117	14557	96474
118	14677	96325
119	14821	96339
120	14936	96158
121	15050	95975
122	15164	95797
123	15281	95634
124	15397	95464
125	15513	95297
126	15656	95297
127	15778	95163
128	15905	95063
129	16025	94922
130	16143	94765
131	16263	94621
132	16383	94481
133	16527	94480
134	16641	94303
135	16755	94126
136	16871	93962
137	16986	93797
138	17107	93659
139	17225	93510
140	17373	93521
141	17491	93372
142	17608	93216
143	17724	93052
144	17849	92942
145	17969	92801
146	18089	92662
147	18236	92661
148	18351	92498
149	18468	92344
150	18584	92186
151	18699	92023
152	18813	91852
153	18930	91703
154	19077	91693
155	19198	91560
156	19317	91420
157	19445	91318
158	19565	91180
159	19688	91059
160	19817	90964
161	19981	91028
162	20110	90929
163	20236	90817
164	20356	90680
165	20479	90552
166	20600	90420
167	20719	90279
168	20865	90254
169	20981	90098
170	21096	89935
171	21211	89777
172	21328	89627
173	21446	89483
174	21567	89350
175	21713	89323
176	21834	89190
177	21955	89056
178	22076	88922
179	22195	88780
180	22316	88647
181	22434	88507
182	22578	88464
183	22692	88303
184	22807	88148
185	22921	87990
186	23037	87838
187	23152	87684
188	23268	87534
189	23417	87508
190	23542	87389
191	23668	87278
192	23794	87165
193	23938	87115
194	24065	87005
195	24180	86851
196	24332	86830
197	24470	86759
198	24601	86662
199	24717	86509
200	24831	86353
201	24945	86199
202	25059	86043
203	25203	85986
204	25319	85837
205	25434	85688
206	25551	85540
207	25669	85401
208	25789	85265
209	25919	85162
210	26066	85118
211	26182	84970
212	26301	84833
213	26440	84756
214	26587	84707
215	26709	84579
216	26829	84443
217	27001	84473
218	27122	84340
219	27242	84204
220	27371	84095
221	27527	84071
222	27671	84008
223	27812	83933
224	27960	83882
225	28085	83760
226	28209	83635
227	28326	83487
228	28443	83342
229	28557	83188
230	28671	83035
231	28816	82970
232	28931	82820
233	29045	82667
234	29162	82523
235	29289	82407
236	29427	82321
237	29560	82222
238	29717	82190
239	29851	82090
240	29981	81983
241	30125	81912
242	30271	81846
243	30458	81887
244	30601	81813
245	30775	81817
246	30909	81716
247	31042	81613
248	31173	81502
249	31314	81416
250	31451	81322
251	31586	81222
252	31738	81164
253	31857	81023
254	31979	80888
255	32101	80756
256	32225	80626
257	32349	80496
258	32471	80362
259	32616	80285
260	32736	80148
261	32854	80003
262	32971	79859
263	33132	79819
264	33277	79740
265	33410	79632
266	33561	79567
267	33685	79438
268	33828	79353
269	33975	79275
270	34098	79142
271	34270	79123
272	34429	79075
273	34637	79135
274	34825	79148
275	34970	79064
276	35091	78924
277	35228	78820
278	35367	78721
279	35507	78623
280	35664	78562
281	35800	78457
282	35949	78377
283	36071	78239
284	36285	78300
285	36437	78225
286	36574	78118
287	36746	78087
288	36881	77974
289	37020	77871
290	37145	77737
291	37388	77849
292	37661	78021
293	37878	78076
294	38074	78085
